Entry,Name,Name(TN),Disease,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8
"D00001
","Water (JP18/USP)
Purified water (JP18)
Purified water in containers (JP18)
Water, purified (USP)
Sterile purified water in containers (JP18)
Water for injection (JP18)
Water for injection in containers (JP18)
  ","Sterile water (TN)
  ","
",Pharmaceutic aid (solvent),,,,,,,
"D00002
","Nadide (JAN/USAN/INN)
Nicotinamide adenine dinucleotide
  ","
","
",Coenzyme,,,,,,,
"D00003
","Oxygen (JP18/USP)
  ","
","
",Medical gases,,,,,,,
"D00004
","Carbon dioxide (JP18/USP)
  ","Carbon dioxide (TN)
  ","
",Medical gases,,,,,,,
"D00005
","Flavin adenine dinucleotide (JAN)
  ","Adeflavin (TN)
  ","
",Supplement (vitamin B2),,,,,,,
"D00006
","Pyridoxal phosphate hydrate (JP18)
Pyridoxal phosphate monohydrate
  ","Hipyridoxin (TN)
  ","
",Supplement (vitamin B6),,,,,,,
"D00007
","Glutamic acid (USP)
L-Glutamic acid (JP18)
  ","
","
",Dietary supplement,,,,,,,
"D00008
","Hydrogen peroxide (USP)
Oxydol (JP18)
  ","Oxyfull (TN)
  ","
",Disinfectant (topical),,,,,,,
"D00009
","Glucose (JP18)
Purified glucose (JP18)
D-Glucose
  ","
","
",Supplement (nutrient),,,,,,,
"D00010
","Acetic acid, glacial (USP)
Acetic acid (JP18/NF)
Glacial acetic acid (JP18)
  ","Acetasol (TN)
  ","
",Antibacterial,Antifungal,Emollient,Pharmaceutic aid (acidifying,flavor,lavage),,
"D00011
","Glycine (JP18/USP)
  ","
","
",Supplement (glycine),,,,,,,
"D00012
","Alanine (USP)
L-Alanine (JP18)
  ","
","
",Supplement (alanine),,,,,,,
"D00013
","Aspartic acid (USP/INN)
L-Aspartic acid (JP18)
  ","
","
",Supplement (amino acid),,,,,,,
"D00014
","Glutathione (JP18)
Glutathione (reduced type)
  ","Tathion (TN)
  ","
",Antidote,,,,,,,
"D00015
","Glutamine (USP)
L-Glutamine (JP18)
Levoglutamide
  ","Endari (TN)
Nutrestore (TN)
  ","Sickle cell disease [DS:H00229]
  ",Anti-ulcerative,Dietary supplement,,,,,,
"D00016
","Serine (USP)
L-Serine (JP18)
  ","
","
",Supplement (serine),,,,,,,
"D00017
","Formaldehyde (USP)
Formalin (JP18)
  ","
","
",Disinfectant,,,,,,,
"D00018
","Ascorbic acid (JP18/USP/INN)
  ","Ascoltin (TN)
Ascorbicap (TN)
ASCOR (TN)
  ","Scurvy [DS:H01580]
  ",Antiscorbutic,Supplement (vitamin C),,,,,,
"D00019
","Methionine (USP)
L-Methionine (JP18)
  ","L-Methionine Z (TN)
  ","
",Antidote,,,,,,,
"D00020
","Tryptophan (USP/INN)
L-Tryptophan (JP18)
  ","
","
",Antidepressant,Supplement (tryptophan),,,,,,
"D00021
","Phenylalanine (USP/INN)
L-Phenylalanine (JP18)
  ","
","
",Supplement (phenylalanine),,,,,,,
"D00022
","Tyrosine (USP/INN)
L-Tyrosine (JP18)
  ","
","
",Supplement (tyrosine),,,,,,,
"D00023
","Urea (JP18/USP)
Carbamide
  ","Pastaron (TN)
  ","
",Diuretic,Emollient,Keratolytic,,,,,
"D00024
","Sulfur, precipitated (USP)
Sulfur, sublimed (USP)
Sulfur (JP18)
  ","Bensulfoid (TN)
Sastid (TN)
  ","
",Antifungal,Scabicide,,,,,,
"D00025
","Sucrose (JP18/NF)
White soft sugar (JP18)
Sugar, compressible (NF)
Sugar, confectioner's (NF)
Sugar spheres (NF)
Sucrose, purified
  ","Sucrose (TN)
  ","
",Pharmaceutic aid (flavor,tablet excipient,vehicle,solid carrier),,,,
"D00026
","L-Cysteine (JP18)
  ","Ecolan (TN)
  ","
",Sulfhydryl enzyme activator,,,,,,,
"D00027
","Uracil (JAN/USAN)
  ","
","
",Antineoplastic (adjunct),,,,,,,
"D00028
","Glycerin (JP18/USP)
Concentrated glycerin (JP18)
Glycerin, concentrated (JAN)
Glycerol (INN)
  ","
","
",Enema,Pharmaceutic aid (humectant,solvent),,,,,
"D00029
","Biotin (JP18/USP/INN)
  ","Bioepiderm (TN)
  ","
",Anti-inflammatory,Supplement (biotin),,,,,,
"D00030
","Leucine (USP)
L-Leucine (JP18)
  ","
","
",Supplement (leucine),,,,,,,
"D00031
","Oxiglutatione (JAN/INN)
  ","Glutathione (TN)
  ","
",Ocular tissue perfusion and lavage,,,,,,,
"D00032
","Histidine (USP/INN)
L-Histidine (JP18)
  ","
","
",Pharmaceutic aid (buffering agent,stabilizing),,,,,,
"D00033
","Phenol (JP18/USP)
Liquefied phenol (JP18)
Phenol for disinfection (JP18)
Phenol, liquefied
  ","Paoscle (TN)
Phenol (TN)
Liquefied phenol (TN)
Phenol for disinfection (TN)
  ","
",Analgesic,Anesthetic (oral),Antipruritic,Disinfectant,Hemorrhoid agent (sclerosing),Pharmaceutic aid (preservative),,
"D00034
","Adenine (JAN/USP)
  ","Leucon (TN)
  ","
",Cell activator,,,,,,,
"D00035
","Proline (USP)
L-Proline (JP18)
  ","
","
",Supplement (proline),,,,,,,
"D00036
","Niacinamide (USP)
Nicotinamide (JP18/INN)
  ","
","
",Supplement (nicotinic acid),,,,,,,
"D00037
","Citric acid, anhydrous (USP)
Anhydrous citric acid (JP18)
Citric acid anhydrous (JAN)
  ","
","
",Pharmaceutic aid (buffering agent,flavor),,,,,,
"D00038
","Benzoic acid (JP18/USP)
  ","Benzoic acid (TN)
  ","
",Antifungal,Antiseptic,,,,,,
"D00039
","Valine (USP)
L-Valine (JP18)
  ","
","
",Supplement (valine),,,,,,,
"D00040
","Cholesterol (JP18/NF)
  ","Cholesterol (TN)
  ","
",Pharmaceutic aid (emulsifying),,,,,,,
"D00041
","Threonine (USP)
L-Threonine (JP18)
  ","
","
",Supplement (threonine),,,,,,,
"D00042
","Cobamamide (JAN/INN)
  ","Calomide (TN)
  ","
",Anti-anemic,Supplement (vitamin B12),,,,,,
"D00043
","Isoflurophate
Fluostigmine
  ","Floropryl (TN)
  ","
",Acetylcholinesterase inhibitor,Butyrylcholinesterase inhibitor (ophthalmic),,,,,,
"D00044
","Maltose (NF)
  ","Madoros (TN)
  ","
",Supplement (nutrient),,,,,,,
"D00045
","Adenosine (JAN/USP)
  ","Adenocard (TN)
Adenoscan (TN)
  ","
",Antiarrhythmic,Cardiac depressant,Diagnostic aid (cardiac stress test),Adenosine receptor agonist,,,,
"D00046
","Anhydrous lactose (JP18)
Lactose, anhydrous (JAN/NF)
  ","Lactose (TN)
  ","
",Pharmaceutic aid (tablet and capsule diluent),,,,,,,
"D00047
","Taurine (JP18/USP/INN)
Aminoethylsulfonic acid (JAN)
  ","Taurine (TN)
  ","
",Liver function improving agent,,,,,,,
"D00048
","Thioctic acid amide (JAN)
Lipoamide
  ","
","
",Supplement (thioctic acid),,,,,,,
"D00049
","Niacin (USP)
Nicotinic acid (JP18/INN)
  ","Niacor (TN)
Niaspan (TN)
  ","Hyperlipidemia [DS:H01635]
Mixed dyslipidemia [DS:H01635]
Myocardial infarction [DS:H01730]
Coronary artery disease [DS:H01742]
Hypertriglyceridemia [DS:H01637]
  ",Antihyperlipidemic,Vasodilator,Supplement (nicotinic acid),,,,,
"D00050
","Riboflavin (JP18/USP/INN)
  ","Bisulase (TN)
  ","
",Supplement (vitamin B2),,,,,,,
"D00051
","Androstenedione (JAN)
  ","
","
",Prohormone,,,,,,,
"D00052
","Edetic acid (NF/INN)
EDTA
  ","Versene acid (TN)
  ","
",Chelating agent (metal),,,,,,,
"D00054
","Inosine (JAN/INN)
  ","Inotin (TN)
  ","
",Immunostimulant,,,,,,,
"D00055
","Orotic acid (JAN)
  ","
","
",Choleretic,,,,,,,
"D00056
","Trypsin, crystallized (USP)
Trypsin (JAN)
  ","Parenzyme (TN)
  ","
",Enzyme (proteolytic),,,,,,,
"D00057
","Citicoline (JP18/INN)
  ","Nicholin (TN)
  ","
",Nootropic,,,,,,,
"D00058
","gamma-Aminobutyric acid (JAN)
  ","Gammalon (TN)
  ","
",Brain metabolism enhancer,Neurotransmitter,,,,,,
"D00059
","Levodopa (JP18/USP/INN)
  ","Dopar (TN)
  ","Parkinson disease [DS:H00057]
Parkinsonism [DS:H01600]
  ",Antiparkinsonian,,,,,,,
"D00060
","Dextran 1 (USP)
Dextran (INN)
  ","
","
",Plasma volume extender,,,,,,,
"D00061
","Xylitol (JP18/NF)
  ","Klinit (TN)
  ","
",Pharmaceutic aid (vehicle,sweetener),Supplement (nutrient),,,,,
