PMID,col1,col2,topic,period
10022201,-32.00015,40.753696,1,1
10026388,-1.2778875,-25.810505,8,1
10027891,59.291306,1.8903651,5,1
10029871,47.52787,22.013575,5,1
10030167,-29.756746,15.650324,2,1
10030196,-10.171016,-37.91542,0,1
10036438,-0.79508317,-9.045319,0,1
10051050,19.568474,34.185345,7,1
10051051,24.73518,41.90719,7,1
10051056,8.660788,-11.401454,0,1
10051058,-50.4451,32.32744,5,1
10051059,-35.16828,-24.123587,5,1
10051063,-47.695675,-13.863315,8,1
10051065,35.667587,44.855114,1,1
10051283,-42.792492,-17.69698,0,1
10052044,-38.389793,-2.1137862,3,1
10065407,-32.69739,14.816799,2,1
10069285,46.268368,-25.668053,5,1
10069286,32.35195,-23.757175,7,1
10073735,-7.644502,11.769815,9,1
10073747,-32.71643,-14.98899,0,1
10073748,9.718735,-24.077974,4,1
10076276,14.198665,24.386108,0,1
10076675,-4.075224,-12.269557,5,1
10077465,30.549185,24.575045,1,1
10078292,29.20702,-33.36767,9,1
10078791,-23.836735,13.38724,2,1
10080601,-12.187322,10.272753,0,1
10081349,7.057025,-1.4431587,9,1
10084421,-7.4406776,-39.859848,0,1
10084728,6.788583,45.236904,7,1
10085695,3.267587,3.9130695,9,1
10085846,-8.326386,-7.038143,8,1
10085919,37.07705,-17.89975,5,1
10086112,-8.265867,6.2957196,0,1
10092956,3.7350512,12.939756,9,1
10095646,36.39365,-17.153854,5,1
10098154,-30.201576,-10.490999,5,1
10099032,-38.890945,21.20649,5,1
10099040,-26.57129,-33.792732,7,1
10099041,-33.062355,20.887545,5,1
10099043,-17.33956,-35.317406,7,1
10099044,5.658704,-21.162563,4,1
10099053,13.699543,0.5298203,8,1
10099056,-7.1471252,-18.781872,4,1
10099058,-44.671112,20.861929,7,1
10114007,0.19947009,2.7024658,9,1
10114052,0.9972211,-1.517213,0,1
10117006,56.3512,-14.5484705,9,1
10117728,26.55518,8.908601,0,1
10119690,20.610435,-16.929392,0,1
10119735,43.519142,-18.472939,5,1
10121011,-10.384465,-34.91852,0,1
10121421,20.245829,-31.72356,8,1
10121426,-3.14906,-29.43067,0,1
10122509,8.339411,-1.052208,9,1
10122649,-10.388832,-34.916893,0,1
10123841,7.5047045,8.323585,0,1
10127574,2.953948,5.333434,0,1
10127576,23.326187,-7.0709076,0,1
10136553,14.381713,-22.36507,0,1
10136586,-19.927359,8.931307,0,1
10137062,37.48502,43.33404,0,1
10137290,-1.6222994,-0.38998845,0,1
10138581,36.39634,-36.801933,0,1
10138923,-2.2095716,-4.977075,0,1
10139093,-5.7201433,-17.396273,0,1
10140426,-2.498519,-0.973557,0,1
10140524,1.2920347,-24.797272,0,1
10140525,21.846384,-16.482965,0,1
10141867,-17.797201,-41.91832,0,1
10144212,21.978241,-11.608905,0,1
10144645,6.7947164,12.576382,9,1
10146946,8.086958,12.048988,0,1
10150465,-10.846513,-4.524452,0,1
10150695,7.4071164,12.876748,9,1
10150698,35.67304,-19.170143,4,1
