,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,method,ms,liquid,chromatography,phase,mass,assay,detection,quantification,samples,5143.36103084231,3718.251767295947,2697.158924694788,2138.5004821507805,1830.557242343559,1795.5640592629895,1678.5155331867893,1667.964195526076,1598.7373928504858,1595.1459666832952,629,602,552,400
1,cbz,pk,mic,tb,pd,carbamazepine,tuberculosis,rifampicin,cefepime,resistant,1085.042523196194,959.6637175183906,741.8277805925758,679.0909005426665,574.8369528735171,443.9995538314359,401.877406170036,352.4740593867329,303.2414996763186,289.11497383391475,96,77,143,122
2,mtx,csf,methotrexate,methods,cells,samples,detection,cell,vancomycin,tgn,772.0814375560467,389.0908860323119,347.49421319673166,337.66224686275785,322.93316545878287,319.75311009431385,304.99659045568336,280.4779178483149,259.38159291116926,259.29303629800137,119,107,162,162
3,vancomycin,group,ill,associated,target,critically,ci,gentamicin,antibiotic,risk,1721.827678118427,1458.6555789696245,994.5164754371261,963.3668611081579,959.7223397676482,940.5945374437615,877.071318643973,863.922120631867,838.3864118002051,781.7117315966976,199,286,472,483
4,tacrolimus,mpa,auc,transplant,renal,transplantation,recipients,csa,vancomycin,model,2832.7336513379646,2568.0908959182666,2409.1990970988686,2177.122558036126,1578.8193236066613,1571.4595568628738,1550.4599355320918,1387.1029267238127,1358.0616123693346,1351.470690573067,294,542,398,324
5,anti,infliximab,activity,ibd,associated,inflammatory,ifx,remission,genotype,polymorphisms,1218.379035598321,965.0208879094637,802.1338022947521,800.0909022562839,775.5616675199657,771.1635335765196,746.0551746220696,739.6394995637767,593.4100033524994,588.9430956947217,53,220,416,331
6,digoxin,saliva,dbs,sampling,samples,dried,method,sunitinib,imatinib,assay,1302.1031549896893,1071.6590648470267,1020.089769200966,478.6142043863259,467.8820306309284,461.2021204845468,422.5942371946,296.37430311940716,286.4479951161117,267.271259093904,105,71,114,88
7,voriconazole,clozapine,drug,interactions,toxicity,agents,cyp2d6,data,adverse,practice,1599.1665925838738,1189.420305734431,1021.0221656727218,857.1298366277895,795.7664166353643,755.1867158911543,738.6681264190314,713.8693674529997,679.8099572242843,677.6654087098108,457,535,534,460
8,samples,free,phenytoin,assay,acid,oral,immunoassay,binding,hair,urine,1144.839432678734,1054.562946035085,1046.4249344357906,952.5026852964602,854.133310592878,687.207890419332,644.0986540253472,631.6902507424192,608.363187084558,561.0055400762616,467,248,160,67
9,hiv,antiretroviral,hplc,ritonavir,infected,efavirenz,fpia,samples,lopinavir,method,1377.1552715239711,706.0141979459664,579.9693920376897,539.8484659641899,528.510217417089,511.9630806916281,473.91440550091403,449.8467066057843,437.92846435013803,392.1134616581979,225,268,95,36
10,clearance,model,age,children,population,variability,data,weight,body,years,2021.3255325328219,1917.092183163388,1800.3916323530418,1475.808508278109,1471.6076916566062,1397.0345181230898,1345.8340755806462,1110.0205563622753,1065.7390206459727,1032.8644698116693,529,465,457,303
