,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,period I,period II,period III,period IV
0,risk,ci,associated,months,adverse,cancer,events,years,lithium,survival,1468.8556209023448,1356.5390290416021,1232.1021811506948,985.1633410902284,912.9735629908223,907.2284208132436,821.9301065363836,698.6185377364653,687.4432921421919,626.734983621732,2003,1660,1020,826
1,tacrolimus,transplant,liver,transplantation,renal,recipients,cyclosporine,rejection,immunosuppressive,tac,2480.0790456149016,1740.2047710850875,1381.7807184525707,1354.7078562080903,1303.437377156163,1234.171395032517,992.3271630936216,923.7791364717644,829.3935267772366,826.673300975752,242,350,179,143
2,imatinib,chronic,leukemia,cf,cml,kinase,group,tyrosine,fibrosis,molecular,696.8287811237332,399.21535239128946,373.0627859447336,353.0526315708881,314.0526315771501,306.78036641987575,303.2659998543916,250.56921693776832,238.7350885119578,238.08926718795624,60,95,150,122
3,cells,cell,tumor,cancer,expression,vivo,il,tissue,imaging,biomarkers,1060.5895967242577,1056.204429101124,941.0009201799852,718.8394801869514,630.0319110045715,623.3563542754093,567.7669254959197,511.9665244586474,488.7663157827887,480.2197356718523,119,226,253,285
4,anti,infliximab,ifx,mtx,tnf,antibodies,ibd,inflammatory,ra,methotrexate,1268.3641093817234,907.6354126363516,825.7491063701347,729.052631571347,686.8842927261843,683.7818839498185,614.9335169598282,583.5212726652743,548.5566674516205,533.0565054695494,50,111,181,341
5,symptoms,disorder,olanzapine,group,depression,children,methadone,weeks,antidepressant,fu,596.8943996592445,586.8000892999988,503.94816528506783,501.0520586151115,500.69718451886195,459.8765404719551,439.0763446479128,389.46981016191324,370.92456737061076,370.05263156928334,237,241,228,208
6,warfarin,inr,anticoagulation,oral,hcv,dabigatran,bleeding,international,time,hepatitis,2692.052631573337,2617.657155413947,1429.4085362195947,888.7148616311014,832.0166106429155,752.1328337082166,751.3796614122385,666.2581061144816,650.5412391950503,637.3476497196145,169,305,441,274
7,pain,nurses,cardiac,administration,infusion,chronic,surgery,heart,acute,side,1332.653391714941,485.09954485830036,465.2115796142608,414.27655867382845,409.14390327791284,398.610015433492,394.6088050463656,383.3312637396864,374.0567548998163,352.6977206163752,283,253,131,65
8,adherence,health,data,hospital,medical,guidelines,practice,compliance,pharmacists,cost,3079.063694455872,1439.7699199711979,1394.9186105513254,1102.4896403628081,1075.0237113283436,994.409398354626,992.2460614880029,876.1673667741732,870.8478189953735,839.7977479086961,468,652,483,362
9,pressure,hypertension,heart,bone,bp,baseline,failure,data,antihypertensive,changes,629.7441419188535,554.2813669186855,526.3795108419462,491.75739431774656,446.73147319269214,408.4551761105275,323.1686275591421,307.28147454178963,274.9855729783902,274.0253899874652,102,177,199,126
10,method,ms,samples,assay,liquid,chromatography,mass,detection,lc,quantification,4223.095285624211,3466.1253991296653,2859.280577078077,2244.9876109604947,2092.1935988585965,1725.3837979464392,1590.7394341230263,1413.1062593158406,1337.0526315432185,1254.7523585408503,363,408,455,696
11,heparin,platelet,aptt,anti,bleeding,xa,time,activity,factor,act,1750.7431342358661,1065.0526315670254,986.2621090154527,883.7407623794019,866.6740641128707,802.0526102646356,767.9364620589903,559.4687935341084,546.910700370206,546.2923896359431,225,293,285,251
12,model,auc,mpa,clearance,pk,population,csa,data,exposure,variability,2314.214195200709,2297.4346954465814,1538.5522348734119,1401.8522842125687,1348.5341700970955,1340.9276474509945,1279.1300458100907,1224.2118283712466,1153.2637616480724,1083.7239720857597,281,376,278,431
13,group,groups,control,placebo,randomized,insulin,diabetes,baseline,trial,weeks,5397.695739531397,1889.6692956886056,1403.538048911953,1277.983989945546,1030.9258644560944,1015.241870390202,1008.0639824822609,990.1530737875798,928.2004752588265,859.2930388687035,108,167,322,332
14,hiv,clozapine,viral,antiretroviral,art,infected,load,cd4,children,resistance,2418.3433578428994,1209.4833866719907,1020.2268723298772,936.2341926243907,827.4357276898924,816.1145595749364,673.7015200910474,651.3720920393123,474.99891489193936,467.20322762679535,109,251,211,131
15,adverse,tb,reactions,tuberculosis,events,development,data,information,reports,pet,1711.2475828038737,965.0065656311799,828.070658487879,670.9984336426403,660.9866771041121,540.853580605469,423.07905891053747,417.4584915253115,415.5010255273053,382.09817135252706,209,238,234,146
16,activity,hair,tgn,thiopurine,inflammatory,drug,rbc,day,copd,days,445.90817846251855,412.1701261736333,299.0526315779098,298.0526315624551,241.28889488663899,231.5215603158672,200.4609634649497,199.47166570952857,190.1607703707683,188.95320440187845,64,107,110,101
17,vancomycin,antibiotic,voriconazole,toxicity,infections,antibiotics,target,dosage,drug,children,1250.9201749237925,1160.7306728069445,1021.1723071622565,1020.1198508707635,913.0898703334666,880.2753261786464,852.6659328749174,822.1253645396872,813.7152940644492,803.3412147291959,355,363,425,570
18,pregnancy,sedation,women,phenytoin,vpa,cbz,infants,carbamazepine,csf,propofol,912.9442913651952,849.4588885538177,824.7129717429509,637.1069512362593,564.0526315622143,474.0526315755128,453.0591830874697,450.4822367716928,431.8786760366035,408.91675787436657,216,198,131,133
