PMID,title,abstract
14699459,Use of total lymphocyte count for monitoring response to antiretroviral therapy.,"The CD4 cell count has become a key laboratory measurement in the management of human immunodeficiency virus (HIV) disease. In ideal situations, HIV-infected persons are followed up longitudinally with serial CD4 cell counts to determine disease progression, risk for opportunistic infection, and the need for prophylactic or therapeutic intervention. However, the use of the CD4 cell count in resource-limited settings is often not possible because of lack of availability and high cost. Thus, other laboratory markers have been proposed as substitutes for the CD4 cell count. The data regarding the clinical utility of the total lymphocyte count (TLC) as a potential surrogate marker of immune function in patients with HIV disease are examined. The role of the TLC in the initiation of antiretroviral therapy and opportunistic infection prophylaxis, as well as the role of the TLC in monitoring the response to antiretroviral therapy, are also addressed."
14722455,Is the influence of social desirability on patients' self-reported adherence overrated?,
14722456,Efficacy and tolerability of zalcitabine twice daily (HIVBID Study).,
15006189,Therapeutic drug monitoring of antiretroviral therapy.,"The concept of managing pharmacotherapy based on plasma drug concentrations has been used for decades in a variety of clinical settings. The interest in therapeutic drug monitoring (TDM) of antiretroviral drugs has grown significantly since highly active antiretroviral therapy (HAART) became a standard of care in clinical practice. A primary characteristic of TDM of antiretroviral drugs is that multiple agents are concomitantly used in HAART regimens. Inadequate drug concentrations may lead to evolution of drug resistance mutations and endanger present and future treatment options. A number of clinical trials have demonstrated that drug serum concentrations are an important factor in response to therapy for HIV, but whether TDM will become a tool for the routine management of HIV infection remains to be determined. This review includes an illustrative case report of measuring concentrations of antiretroviral drugs in a pediatric patient."
15006193,Growth patterns reflect response to antiretroviral therapy in HIV-positive infants: potential utility in resource-poor settings.,"Laboratory monitoring of HIV-infected children is the current standard of care in the United States to guide the appropriate use of antiretroviral therapy (ART). Although ART is becoming a reality in some developing countries, laboratory monitoring of ART is costly, necessitating creative approaches to monitoring. As an initial step to guide monitoring of HIV progression in low resource settings, we assessed the utility of the physical examination to predict clinical progression of HIV. We conducted a retrospective cohort study of HIV-infected children using data from Pediatric AIDS Clinical Trials Group Protocol 300. We developed a clinical predictive model, and compared the utility of the clinical model to the change in HIV RNA viral load as diagnostic tests of ART failure. The clinical model incorporated treatment regimen, age, and height velocity: a three-level clinical predictive model provided likelihood ratios of 0.3, 3.9, and 14. For decline in RNA the likelihood ratios were 0.2 (> 1 log decline), 1.4, and 3.5 (> log increase). We developed a simple clinical predictive model that was able to predict clinical progression of HIV after initiation of new ART. The clinical model performed similarly to using changes in HIV RNA viral load. These data should be validated internationally and prospectively, because the test subjects were from a resource rich environment and growth patterns in undernourished children may be impacted differently by HIV and its treatment. The model was most pertinent to children 36 months of age or younger, and was conducted in children receiving monotherapy and dual therapy."
15040540,Effect of individual cognitive behaviour intervention on adherence to antiretroviral therapy: prospective randomized trial.,"OBJECTIVE: A high level of adherence to antiretroviral therapy is required for complete suppression of HIV replication, immunological and clinical effectiveness. We investigated whether cognitive behaviour therapy can improve medication adherence. DESIGN: Prospective randomized 1-year trial. SETTING: Collaboration of HIV university outpatient clinic and psychotherapists in private practice. PARTICIPANTS: 60 HIV-infected persons on stable antiretroviral combination therapy and viral load below 50 copies/ml. INTERVENTION: Cognitive behaviour intervention in individual patients, in addition to standard of care. MAIN OUTCOME MEASURES: Feasibility and acceptance of intervention; adherence to therapy assessed using medication event monitoring system (MEMS) and self-report questionnaire; virological failure; psychosocial measures. RESULTS: The median number of sessions for cognitive behaviour intervention per patient during the 1-year trial was 11 (range 2-25). At months 10-12, mean adherence to therapy as assessed using MEMS was 92.8% in the intervention and 88.9% in the control group (P=0.2); the proportion of patients with adherence > or = 95% was 70 and 50.0% (P=0.014), respectively. While there was no significant deterioration of adherence during the study in the intervention arm, adherence decreased by 8.7% per year (P=0.006) in the control arm. No differences between the intervention group and standard of care group were found regarding virological outcome. Compared with the control group, participants in the intervention group perceived a significant improvement of their mental health during the study period. CONCLUSIONS: Cognitive behavioural support in addition to standard of care of HIV-infected persons is feasible in routine practice, and can improve medication adherence and mental health."
15076251,Lipid abnormalities in HIV-infected patients are not correlated with lopinavir plasma concentrations.,
15077862,Highly active antiretroviral therapy in neonates and young infants.,"As techniques for early diagnosis of HIV-infected neonates and young infants become more sophisticated, neonatal nurses will be responsible for administering a variety of antiretroviral agents. Infants infected with HIV are likely to be placed on combination therapy, with the goal of suppressing viral replication and stabilizing the immune system. Combination therapy also reduces the risk of resistance mutations associated with monotherapy. The pharmacokinetics of antiretroviral agents in neonates is under study in a variety of PACTG protocols. However, the pharmacokinetics of most antiretroviral agents in premature infants has not been studied. With the exception of zidovudine, specific dosing for these agents in the preterm population is not known. The long-term effects of antiretroviral agents on growth and development also require further study. Knowledge of the management of HIV in all populations is expanding rapidly. Access to and utilization of HIV/AIDS-related resources are essential. The reader is encouraged to check for updated recommendations for the management of HIV-infected infants on the Internet at http://AIDSinfo. nih.gov."
15090796,"Effect of prolonged discontinuation of successful antiretroviral therapy on CD4 T cells: a controlled, prospective trial.","OBJECTIVE: To compare continuous highly active antiretroviral therapy with a CD4 cell count-driven structured treatment interruption (STI) strategy. The primary end-point was the proportion of subjects maintaining CD4 cell count > 400 x 10 cells/l. Secondary end-points were to identify the dynamic and predictive variables of CD4 cell loss. METHODS: The BASTA study is a randomized, controlled, prospective trial. Patients with CD4 cell counts > 800 x 10 cells/l were enrolled and the immunological threshold to resume therapy was set to the lower normal limit of CD4 cells for HIV-uninfected adults. RESULTS: Sixty-nine patients were randomized and followed for 64 weeks. At baseline, all had undetectable plasma HIV RNA and their mean CD4 cell count was 1077 x 10 cells/l. None of the patients showed a disease progression or any AIDS-defining event. At each time point, the proportion of subjects in the STI group that had a CD4 cell count < 400 x 10 cells/l was not statistically different from the control group. In all cases, the 95% confidence interval for this difference was smaller than +/-10%. However, 57% of patients with nadir CD4 cell count 200-350 x 10 cells/l reached a CD4 cell count < 400 x 10 cells/l. This was statistically different (P = 0.02) from the nearly 90% of patients with a nadir CD4 cell count 350-500 x 10 cells/l who maintained a CD4 cell count of > 400 x 10 cells/l. CONCLUSIONS: Prolonged STI in patients with fully suppressed virus and marked immune reconstitution is generally safe. The main predictor of CD4 cell decline is the nadir CD4 cell count. Pulse therapy warrants further careful prospective evaluation to investigate virological and clinical outcomes over a very long period."
15090817,Detection of stavudine concentrations in plasma of HIV-infected patients taking zidovudine.,
